target_id	10_compatible1	10_compatible2	10_compatible4	10_incompatible1	10_incompatible2	10_incompatible3
AT1G02205.2	0	0	0	0.675495	0	0.411984
AT1G02520.2	0	0	0	0	0.210201	0.596828
AT1G02860.3	0	0	0	0.190684	0.177764	0
AT1G03746.1	0	0	0	2.60716	0	5.23171
AT1G03960.6	0	0	0	0.119876	0.125801	0
AT1G04677.1	0	0	0	0.167672	0	0.168069
AT1G05113.1	0	0	0	0.516189	0.571758	0
AT1G05200.6	0	0	0	0	0.200089	0.402562
AT1G05487.1	0	0	0	0.237919	0.197089	0.242317
AT1G05610.1	0	0	0	0.425968	0.464266	0.210268
AT1G05710.12	0	0	0	0.155209	0.105796	0.401394
AT1G06003.1	0	0	0	0.108113	0.118228	0.160537
AT1G06073.1	0	0	0	0.339698	0.375322	0.33986
AT1G06490.1	0	0	0	0.188323	0.139076	0.0524635
AT1G06907.1	0	0	0	0.0969892	0.105295	0.193152
AT1G07060.3	0	0	0	0	0.169579	0.291495
AT1G07270.2	0	0	0	0	0.125875	0.620944
AT1G09293.1	0	0	0	0	0.213085	0.193042
AT1G09483.1	0	0	0	0	0.163955	0.148629
AT1G09513.1	0	0	0	0.176091	0.193824	0
AT1G10100.1	0	0	0	0.18396	0.10113	0
AT1G10120.2	0	0	0	0.141333	0	0.57279
AT1G10600.3	0	0	0	0.374314	0.24185	0
AT1G11570.1	0	0	0	0	0.30076	0.178602
AT1G14380.2	0	0	0	0	0.285115	0.101645
AT1G15040.2	0	0	0	0.201112	0	0.105818
AT1G16060.3	0	0	0	0.158681	0.304934	0.408545
AT1G17780.3	0	0	0	0.256417	0.279705	0
AT1G17990.1	0	0	0	0.240969	0	0.250016
AT1G18750.6	0	0	0	0.890746	0	0.859738
AT1G19140.2	0	0	0	0.310096	1.2192	0
AT1G20696.2	0	0	0	1.14804e-8	1.83917	0.357022
AT1G23900.3	0	0	0	0.409124	0.222916	0
AT1G27030.1	0	0	0	0.386805	0	0.799629
AT1G29357.4	0	0	0	0.433656	0.382068	0
AT1G31380.1	0	0	0	0.0844526	0.278103	0.168903
AT1G32337.1	0	0	0	1.89284	3.1868	0
AT1G34360.3	0	0	0	0	0.384994	0.302414
AT1G43170.5	0	0	0	0.234048	0.124501	0
AT1G43605.2	0	0	0	0	0.202732	0.143506
AT1G53450.3	0	0	0	0.471408	0.575182	0
AT1G54390.6	0	0	0	0.339406	0.265195	0
AT1G54790.2	0	0	0	0.17015	0.185895	0.148368
AT1G55200.3	0	0	0	3.80185e-9	0.355612	0.277638
AT1G55490.3	0	0	0	0.108595	0.236402	0.210724
AT1G55710.1	0	0	0	0.414768	0.459415	0
AT1G55730.1	0	0	0	0.22912	0.66569	0.534673
AT1G58007.3	0	0	0	0.31324	0.163272	0
AT1G59833.1	0	0	0	0	0.649647	0.588321
AT1G61210.3	0	0	0	0.150768	0	0.135209
AT1G61360.4	0	0	0	0	0.236444	0.211117
AT1G61670.1	0	0	0	0.260593	0	0.745137
AT1G64480.3	0	0	0	0.158161	0.178425	0.651773
AT1G65800.2	0	0	0	0.106523	0.145054	0
AT1G67210.2	0	0	0	0.189853	0.21103	0
AT1G68010.3	0	0	0	0.304213	0.554593	0.365383
AT1G68872.1	0	0	0	0.187316	0	0.169036
AT1G74580.1	0	0	0	0.250231	0.101246	0.246572
AT1G79210.3	0	0	0	0	0.420805	0.591191
AT1G79740.2	0	0	0	0.106859	0.241884	0
AT1G80380.7	0	0	0	0.0982132	0.114355	0.104115
AT1G80555.2	0	0	0	0.31873	0.0727542	0.254946
AT1G80625.1	0	0	0	0.127474	0	0.117436
AT2G01250.2	0	0	0	0.125204	0.286057	0
AT2G01390.1	0	0	0	0.0905245	0.105359	0.179945
AT2G01730.2	0	0	0	0	0.299893	0.106005
AT2G02148.1	0	0	0	1.10697	1.20645	1.89041
AT2G03210.3	0	0	0	0.845381	0	0.594482
AT2G03600.1	0	0	0	0	0.113456	0.19051
AT2G04555.1	0	0	0	0.733893	0	0.367883
AT2G04870.1	0	0	0	0	0.459415	0.415214
AT2G05725.1	0	0	0	0.177091	0	0.353128
AT2G06305.1	0	0	0	0	0.287228	0.520049
AT2G07637.1	0	0	0	0	0.265921	0.35917
AT2G07935.1	0	0	0	0.10841	0	0.108821
AT2G08900.1	0	0	0	4.9293	0	4.95997
AT2G08905.1	0	0	0	4.98213	2.74129	0
AT2G09175.1	0	0	0	0.509697	0.280659	0
AT2G09310.1	0	0	0	0.327165	0	0.16259
AT2G09735.1	0	0	0	0	5.45248	2.59776
AT2G15080.1	0	0	0	0	0.110205	0.101064
AT2G15430.2	0	0	0	0.0596239	0.106775	0.302037
AT2G16020.1	0	0	0	0.366947	0.406374	0
AT2G20740.2	0	0	0	0	0.348849	0.188073
AT2G21710.3	0	0	0	0.167474	0.451994	0.205256
AT2G21810.1	0	0	0	0	0.143835	0.1609
AT2G22540.2	0	0	0	0.107251	0.387301	0
AT2G22955.2	0	0	0	0.310015	0	0.31
AT2G23985.2	0	0	0	0.248715	0.613916	0.323371
AT2G24390.2	0	0	0	0.197736	0.262882	0
at2g25011	0	0	0	0	0.30283	0.404398
AT2G25350.5	0	0	0	0.237615	0	0.263734
AT2G25880.2	0	0	0	0.235075	0.241897	0
AT2G26210.3	0	0	0	0.24945	0.247565	0.251176
AT2G26310.2	0	0	0	0.349495	0.145752	0
AT2G29090.1	0	0	0	0.293908	0	0.32754
AT2G29210.1	0	0	0	0.438018	0.48475	0
AT2G30424.1	0	0	0	0.353967	0.45313	0.115781
AT2G30580.2	0	0	0	0.112434	0.148401	0
AT2G32230.2	0	0	0	0.114314	0.118268	0
AT2G32460.2	0	0	0	0.462927	1.06932	0
AT2G34100.2	0	0	0	0.935747	0.806765	0
AT2G34450.1	0	0	0	0.424895	0.491696	0.389831
AT2G35040.2	0	0	0	1.43904	0.406417	0.876751
AT2G35620.3	0	0	0	0.151384	0.199615	0
AT2G35747.1	0	0	0	0	2.14742	0.614704
AT2G36370.1	0	0	0	0.320275	0.385073	0.126306
AT2G38750.2	0	0	0	0.122476	0	0.150866
AT2G40095.3	0	0	0	0.162813	0.13839	0
AT2G40160.2	0	0	0	0.158158	0.133645	0
AT2G40935.8	0	0	0	0.167285	0	0.225359
AT2G41505.2	0	0	0	0.749355	1.4266	0.20927
AT2G41880.2	0	0	0	0.0328211	0.750583	0.686378
AT2G43137.1	0	0	0	11.9756	7.98435	5.14357
AT2G43690.1	0	0	0	0	0.402525	0.116674
AT2G44880.1	0	0	0	0	0.113875	0.116466
AT2G46455.3	0	0	0	0.163234	0.16307	0
AT2G46480.1	0	0	0	0	0.331345	0.113053
AT2G46800.2	0	0	0	0.113594	0	0.264488
AT3G01311.1	0	0	0	0.315846	0.931658	0
AT3G01550.2	0	0	0	0	0.258745	0.283536
AT3G02870.2	0	0	0	0	0.487622	0.143414
AT3G02885.2	0	0	0	0.164989	0.458553	0
AT3G02895.1	0	0	0	0.216117	0.238055	0
AT3G04020.2	0	0	0	0.457331	0.788591	0
AT3G04825.1	0	0	0	0.046805	0.353623	0.222271
AT3G05215.1	0	0	0	0	0.772654	0.693336
AT3G05815.1	0	0	0	0	0.375322	0.33986
AT3G05936.2	0	0	0	0.226758	0.122131	0
AT3G06025.1	0	0	0	0	0.172616	0.155787
AT3G06160.5	0	0	0	0.266999	0	0.196827
AT3G06795.1	0	0	0	0	0.345393	1.25106
AT3G07105.1	0	0	0	0	0.241225	0.218504
AT3G08585.1	0	0	0	0.291973	0	0.291517
AT3G08800.3	0	0	0	0.192859	0	0.260195
AT3G09655.1	0	0	0	0.112523	0.125064	0
AT3G10880.4	0	0	0	0.437169	0.445892	0.486019
AT3G11440.3	0	0	0	0.135607	0.126521	0.185919
AT3G13190.3	0	0	0	0.464347	0.780316	0.166507
AT3G13580.8	0	0	0	0.209343	0	0.386195
AT3G15050.1	0	0	0	0.90129	0	0.427875
AT3G16785.4	0	0	0	0.232919	0	0.213664
AT3G19184.2	0	0	0	0.169956	0.221687	0
AT3G20370.1	0	0	0	0.507151	0.736419	0
AT3G20970.2	0	0	0	0.3545	0	0.79945600000000006
AT3G21730.2	0	0	0	0	0.208776	0.309268
AT3G22470.2	0	0	0	0.369607	0	0.208289
AT3G23090.1	0	0	0	0.584246	0.559588	0
AT3G24929.6	0	0	0	0.290056	0.355665	0
AT3G26730.7	0	0	0	0.318777	0.112622	0
AT3G27025.2	0	0	0	0.147953	0.111019	0
AT3G27329.1	0	0	0	0.142711	0.156641	0
AT3G28130.3	0	0	0	0.375817	0	0.151228
AT3G29305.1	0	0	0	0	0.134876	0.124746
AT3G30841.2	0	0	0	0	0.23165	0.24487
AT3G44435.1	0	0	0	0.0779639	0.169181	0.156834
AT3G44785.1	0	0	0	0.377775	0	0.758183
AT3G44960.1	0	0	0	0.160262	0.316093	0
AT3G45020.3	0	0	0	0.499273	0.825341	0
AT3G46540.2	0	0	0	0	0.325902	0.417482
AT3G46930.6	0	0	0	0.131768	0	0.124505
AT3G47420.3	0	0	0	0	0.108444	0.119686
AT3G47660.6	0	0	0	0	0.12894	0.126707
AT3G48830.1	0	0	0	0	0.388382	0.543449
AT3G50530.2	0	0	0	0.355788	0.359373	0
AT3G51644.1	0	0	0	0.162966	0	0.324651
AT3G52720.1	0	0	0	0.263684	0	0.131788
AT3G56110.1	0	0	0	0	0.532744	0.471232
AT3G56190.2	0	0	0	0.626649	0	0.319122
AT3G56700.2	0	0	0	0.251067	0	0.349873
AT3G57130.2	0	0	0	0.100487	0	0.166592
AT3G57520.2	0	0	0	0.210692	0.367657	0.11229
AT3G58350.1	0	0	0	0	0.601911	0.610955
AT3G59570.1	0	0	0	0.486504	0.192467	0
AT3G60050.2	0	0	0	1.01711	0	0.232755
AT3G60450.2	0	0	0	0.815177	1.93899	2.70237
AT3G62100.2	0	0	0	0.0550513	0.120364	0.10884
AT4G00730.2	0	0	0	0.116936	0	0.322778
AT4G04355.1	0	0	0	0.494652	0.81681	0.492976
at4g04835	0	0	0	0	0.144728	0.128801
AT4G05065.1	0	0	0	0.247326	0.27227	0
AT4G05425.1	0	0	0	0.15502	0	0.158019
AT4G05680.1	0	0	0	0.271267	0	0.270403
AT4G06175.1	0	0	0	0.423966	0.939294	0.424232
AT4G07030.1	0	0	0	0.370597	0	0.742971
AT4G10457.1	0	0	0	0.243674	0.268268	0
AT4G12440.3	0	0	0	0.147287	0.172466	0.271814
AT4G13100.9	0	0	0	0.0812905	0.539957	0.134741
AT4G14225.1	0	0	0	0.664111	0	0.110892
AT4G14350.4	0	0	0	0.113961	0	0.128164
AT4G14385.4	0	0	0	0.127226	0.55843	0
AT4G14760.1	0	0	0	0.450783	0.741761	0.314467
AT4G15765.4	0	0	0	0	0.196705	0.448263
AT4G18370.2	0	0	0	0.626805	0	0.292552
AT4G20050.5	0	0	0	0.710911	1.58902	0.525964
AT4G20090.2	0	0	0	0.799826	0.306706	7.87644e-10
AT4G21210.2	0	0	0	0.130705	0.132195	0.135336
AT4G21380.2	0	0	0	0.156178	0.438839	0
AT4G22217.1	0	0	0	0.237507	0.389856	0.231553
AT4G23380.1	0	0	0	0.249426	0.229578	0.0898757
AT4G26330.1	0	0	0	0	0.155301	0.144162
AT4G26530.2	0	0	0	0.433421	0	0.304235
AT4G26795.2	0	0	0	0.583459	0	0.171943
AT4G27490.5	0	0	0	0	1.10037	0.621949
AT4G27500.1	0	0	0	0	0.33252	0.312659
AT4G28660.2	0	0	0	0.165747	0.175541	0.16574
AT4G29760.1	0	0	0	0.151691	0.131364	0
AT4G30820.14	0	0	0	0	0.168584	0.124693
AT4G30820.25	0	0	0	0.894312	0	0.429208
AT4G30820.3	0	0	0	0.403459	0.110011	0.704119
AT4G32000.4	0	0	0	0	0.105021	0.132162
AT4G35040.3	0	0	0	0.137204	0.453804	0
AT4G35290.2	0	0	0	0.211776	0	0.326646
AT4G35860.2	0	0	0	0.226722	0.112509	0.327518
AT4G37210.2	0	0	0	0.215624	0.18388	0
AT4G37290.1	0	0	0	0.135917	0.365382	0
AT4G37830.2	0	0	0	0.739857	0.291238	0.24387
AT4G37940.4	0	0	0	0	0.201741	0.403326
AT4G39770.2	0	0	0	0.73792	0.375142	0.187354
AT5G01675.1	0	0	0	0	0.127035	0.114932
AT5G03180.3	0	0	0	0	0.672505	0.695048
AT5G03535.1	0	0	0	0	0.303608	0.27502
AT5G03830.1	0	0	0	0	0.51696	0.588286
AT5G04435.1	0	0	0	0.304697	0.336193	0
AT5G05180.2	0	0	0	0	0.177154	0.146871
AT5G05210.2	0	0	0	0.133126	0.148987	0
AT5G06285.1	0	0	0	0.106549	0.116824	0.106474
AT5G07510.2	0	0	0	0.191213	0	0.378845
AT5G08310.2	0	0	0	0.287308	0	0.231681
AT5G08715.1	0	0	0	0.994955	0	0.997289
AT5G09385.1	0	0	0	0.299499	0	0.299386
AT5G09535.1	0	0	0	0.117097	0	0.116865
AT5G09895.1	0	0	0	0	0.200673	0.18172
AT5G10510.6	0	0	0	0.367955	0.206768	0
AT5G11830.1	0	0	0	0.232003	0	0.155113
AT5G12236.1	0	0	0	1.49214	0	1.49159
AT5G12440.5	0	0	0	0.177578	0.261165	0.38727
AT5G13570.2	0	0	0	0.187118	0.245116	0
AT5G14770.5	0	0	0	0	0.352279	0.145634
AT5G18500.4	0	0	0	0	0.412203	0.187836
AT5G19950.3	0	0	0	0.298338	0.165257	0.127136
AT5G21950.4	0	0	0	0	0.536012	0.238871
AT5G24640.1	0	0	0	0	0.197848	0.179906
AT5G25370.3	0	0	0	0	0.185145	0.367627
AT5G25390.1	0	0	0	0.762001	0.308112	0
AT5G28340.1	0	0	0	0.172618	0	0.385762
AT5G37240.3	0	0	0	0.701746	0.135972	0.40976
AT5G37500.2	0	0	0	0.297277	0.193963	0
AT5G38220.2	0	0	0	0	1.63837	2.72548
AT5G41000.2	0	0	0	0.118807	0.234549	0.208891
AT5G43064.1	0	0	0	0	0.459415	0.415214
AT5G43730.4	0	0	0	0.135394	0	0.245551
AT5G44010.4	0	0	0	0.121112	0.298756	0.4002
AT5G45300.3	0	0	0	0.180096	0.405752	0.247525
AT5G47900.1	0	0	0	0.522694	1.32024	4.6549e-6
AT5G48290.3	0	0	0	0.140898	0.21123	0.0705453
AT5G48410.3	0	0	0	0.345065	0.48677	0.175676
AT5G49150.1	0	0	0	0.206594	0	0.142741
AT5G50130.9	0	0	0	0.855784	1.21541	1.64994
AT5G52070.5	0	0	0	0.449264	0.262651	0.585003
AT5G55400.1	0	0	0	0.251472	0.374739	0
AT5G56850.1	0	0	0	0	0.885899	0.40266
AT5G60460.2	0	0	0	0.305363	0.205027	0
AT5G61200.1	0	0	0	0.230062	0	0.240029
AT5G61250.1	0	0	0	0	0.382512	0.339421
AT5G61530.3	0	0	0	0.396005	0	0.136759
AT5G61700.3	0	0	0	0.197277	0.181952	0
AT5G62165.14	0	0	0	0.610178	0.277609	0.497648
AT5G64520.11	0	0	0	0.323825	0	0.25145
AT5G65070.2	0	0	0	0	0.128571	0.338738
AT5G66600.4	0	0	0	0.137584	0.0883224	0.188737
ATMG00710.1	0	0	0	0	0.161402	0.146382
ATMG00890.1	0	0	0	0.162729	0.307276	0
ATMG01400.1	0	0	0	0	0.167172	0.147781
TCONS_00000481	0	0	0	4.00683	2.8702	4.03655
TCONS_00000482	0	0	0	2.40557	4.10279	1.90738
TCONS_00001779	0	0	0	0	0.362851	0.291236
TCONS_00002142	0	0	0	0.390831	0	0.772974
TCONS_00002216	0	0	0	0.164672	0.310392	2.6015e-10
TCONS_00002848	0	0	0	4.19697e-9	0.251614	0.495882
TCONS_00004442	0	0	0	0.301219	0	0.294446
TCONS_00005844	0	0	0	0.210438	0.72681	0.207545
TCONS_00007859	0	0	0	0.739699	0.774381	0.339121
TCONS_00007875	0	0	0	0.199455	0	0.17034
TCONS_00009834	0	0	0	0	0.214215	0.179776
TCONS_00011743	0	0	0	0.290848	0	0.424632
TCONS_00012569	0	0	0	0.307225	0.408328	0.417289
TCONS_00013983	0	0	0	0	0.58542400000000006	0.355866
TCONS_00014861	0	0	0	0.219451	0.598475	0.454907
TCONS_00015975	0	0	0	0.315463	0.161687	0.303475
TCONS_00017710	0	0	0	0	0.157655	0.297137
TCONS_00019070	0	0	0	0	0.180173	0.20346
TCONS_00019496	0	0	0	0	0.1817	0.151673
TCONS_00020259	0	0	0	0.110655	0.12655	0.506576
TCONS_00020630	0	0	0	0.308515	0	0.787574
TCONS_00021054	0	0	0	0.329769	0	0.484503
TCONS_00021148	0	0	0	0.354258	0.1008	0.0257845
TCONS_00021190	0	0	0	0.321212	0.335297	0
TCONS_00021232	0	0	0	0.153258	0.744002	0.277021
TCONS_00021241	0	0	0	0	0.368689	0.168623
TCONS_00024868	0	0	0	0.263813	0.6943	0
TCONS_00027334	0	0	0	0.559022	0.575474	0
TCONS_00027846	0	0	0	0.574995	0.29173	0.541832
TCONS_00028427	0	0	0	0.468909	0.50898	0.764947
TCONS_00028606	0	0	0	0	0.155585	0.308304
TCONS_00029654	0	0	0	1.38569	0	0.913985
TCONS_00029717	0	0	0	0	0.255968	0.288876
TCONS_00030103	0	0	0	0.115195	0	0.109344
TCONS_00030494	0	0	0	0	0.692389	0.502245
TCONS_00030632	0	0	0	0.124326	0	0.123272
TCONS_00031138	0	0	0	4.29065	0	1.1043
TCONS_00031857	0	0	0	0.361282	0	0.19631
TCONS_00032326	0	0	0	0.176124	0.00746919	0.163632
TCONS_00033118	0	0	0	0.716515	0	0.37764
TCONS_00034718	0	0	0	0.365499	0	0.354239
TCONS_00035791	0	0	0	0.214695	0.278736	0.237422
TCONS_00036107	0	0	0	0.104844	0.0921153	0.111308
TCONS_00036665	0	0	0	0.377197	0.601047	0
TCONS_00039644	0	0	0	0	1.68291	1.1695
TCONS_00039748	0	0	0	0.115332	0.191059	0.176946
TCONS_00040831	0	0	0	0.127834	0.138077	0.128415
TCONS_00042138	0	0	0	0.24489	0.270271	0.149971
TCONS_00045592	0	0	0	0.673144	0.649961	0.481246
TCONS_00046900	0	0	0	0.174426	0.241166	0.094662
TCONS_00048690	0	0	0	0.171404	0	0.137576
TCONS_00051189	0	0	0	0.164204	0	0.148261
TCONS_00051532	0	0	0	0.188995	0	0.186839
TCONS_00051739	0	0	0	0.797736	1.94346	0
TCONS_00052950	0	0	0	0	0.115014	0.106672
TCONS_00053345	0	0	0	0	0.473658	0.359845
TCONS_00054814	0	0	0	0.496854	0	0.362519
TCONS_00055992	0	0	0	0.351706	0.336782	0
TCONS_00056054	0	0	0	0.126884	0.137326	0.127581
TCONS_00056610	0	0	0	0.336915	0	0.150458
TCONS_00057367	0	0	0	3.99016e-7	0.584694	0.11344
TCONS_00057542	0	0	0	0.269786	0	0.264236
TCONS_00058074	0	0	0	0	0.592015	0.264608
TCONS_00060960	0	0	0	2.48552	1.19246	1.62957
TCONS_00061220	0	0	0	0.880119	0.551503	0.466614
TCONS_00063158	0	0	0	0.278148	0	0.900295
